PID,Type,Module Name,Base Address,Size,Endaddress,Timestamp
10076,Benign,C:\Windows\System32\dnsapi.dll                                           , 0x7ffad7380000 , 0xf8000   , 0x7ffad7478000 , 0xb9e36f3c
10076,Benign,C:\Windows\System32\CRYPTBASE.DLL                                        , 0x7ffad7f80000 , 0xc000    , 0x7ffad7f8c000 , 0xf6072bfa
10200,Benign,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2404.10.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe                    , 0x7ff6b2530000 , 0x186000  , 0x7ff6b26b6000 , 0x664d4c5a
10200,Benign,C:\Windows\System32\ntdll.dll                                                                                                , 0x7ffadb550000 , 0x217000  , 0x7ffadb767000 , 0x92b2df34
10200,Benign,C:\Windows\System32\kernel32.dll                                                                                             , 0x7ffada120000 , 0xc4000   , 0x7ffada1e4000 , 0x6b8a5ea3
10200,Benign,C:\Windows\System32\KERNELBASE.dll                                                                                           , 0x7ffad8d00000 , 0x3a7000  , 0x7ffad90a7000 , 0x83efbeab
10200,Benign,C:\Windows\System32\shlwapi.dll                                                                                              , 0x7ffadb4b0000 , 0x5e000   , 0x7ffadb50e000 , 0x1d6a6aa3
10200,Benign,C:\Windows\System32\msvcrt.dll                                                                                               , 0x7ffada7a0000 , 0xa7000   , 0x7ffada847000 , 0x657b2709
10200,Benign,C:\Windows\System32\user32.dll                                                                                               , 0x7ffad9e60000 , 0x1ae000  , 0x7ffada00e000 , 0xe6af1704
10200,Benign,C:\Windows\System32\win32u.dll                                                                                               , 0x7ffad90b0000 , 0x26000   , 0x7ffad90d6000 , 0x331718eb
10200,Benign,C:\Windows\System32\gdi32.dll                                                                                                , 0x7ffad9a30000 , 0x29000   , 0x7ffad9a59000 , 0xb7344674
10200,Benign,C:\Windows\System32\gdi32full.dll                                                                                            , 0x7ffad9160000 , 0x119000  , 0x7ffad9279000 , 0x4e380221
10200,Benign,C:\Windows\System32\msvcp_win.dll                                                                                            , 0x7ffad8870000 , 0x9a000   , 0x7ffad890a000 , 0x8e0806c9
10200,Benign,C:\Windows\System32\ucrtbase.dll                                                                                             , 0x7ffad8be0000 , 0x111000  , 0x7ffad8cf1000 , 0x10c46e71
10200,Benign,C:\Windows\System32\shell32.dll                                                                                              , 0x7ffadac50000 , 0x85c000  , 0x7ffadb4ac000 , 0x1ad651d3
10200,Benign,C:\Windows\System32\ole32.dll                                                                                                , 0x7ffada5f0000 , 0x1a5000  , 0x7ffada795000 , 0x576381ab
10200,Benign,C:\Windows\System32\combase.dll                                                                                              , 0x7ffad9a60000 , 0x388000  , 0x7ffad9de8000 , 0x317e0d0a
10200,Benign,C:\Windows\System32\rpcrt4.dll                                                                                               , 0x7ffad9890000 , 0x115000  , 0x7ffad99a5000 , 0x10c0df6b
10200,Benign,C:\Windows\System32\advapi32.dll                                                                                             , 0x7ffada060000 , 0xb2000   , 0x7ffada112000 , 0xa799803d
10200,Benign,C:\Windows\System32\sechost.dll                                                                                              , 0x7ffadaba0000 , 0xa8000   , 0x7ffadac48000 , 0x66b1d5d9
10200,Benign,C:\Windows\System32\bcrypt.dll                                                                                               , 0x7ffad8bb0000 , 0x28000   , 0x7ffad8bd8000 , 0x5a31de46
10200,Benign,C:\Windows\System32\crypt32.dll                                                                                              , 0x7ffad8910000 , 0x168000  , 0x7ffad8a78000 , 0x856a1a8c
10200,Benign,C:\Windows\System32\comdlg32.dll                                                                                             , 0x7ffad9280000 , 0xf7000   , 0x7ffad9377000 , 0x0a9e8bf4
10200,Benign,C:\Windows\System32\SHCore.dll                                                                                               , 0x7ffadaa30000 , 0xf5000   , 0x7ffadab25000 , 0x50364b5c
10200,Benign,C:\Windows\System32\propsys.dll                                                                                              , 0x7ffad2710000 , 0x101000  , 0x7ffad2811000 , 0xbf049a57
10200,Benign,C:\Windows\System32\urlmon.dll                                                                                               , 0x7ffaccc70000 , 0x1f0000  , 0x7ffacce60000 , 0x1e3c50ac
10200,Benign,C:\Windows\System32\oleaut32.dll                                                                                             , 0x7ffada4f0000 , 0xd7000   , 0x7ffada5c7000 , 0x23dc6a52
10200,Benign,C:\Windows\System32\iertutil.dll                                                                                             , 0x7ffacc910000 , 0x2be000  , 0x7ffaccbce000 , 0x25f0b745
10200,Benign,C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3527_none_270e469b73872a76\comctl32.dll , 0x7ffaca300000 , 0x293000  , 0x7ffaca593000 , 0x367f93a7
