PID,Type,VA Start,RVA,Size
10076,Benign,0x270d5f80000  , 0x2003305  , 0xf2000
10076,Benign,0x270d6080000  , 0x20f5305  , 0xf2000
10076,Benign,0x270d6180000  , 0x21e7305  , 0x100000
10076,Benign,0x270d6280000  , 0x22e7305  , 0x100000
10076,Benign,0x270d6380000  , 0x23e7305  , 0xef000
10076,Benign,0x270d6630000  , 0x24d6305  , 0x35000
10076,Benign,0x27900000000  , 0x250b305  , 0x10000
10076,Benign,0x27900020000  , 0x251b305  , 0x20000
10076,Benign,0x279000c0000  , 0x253b305  , 0x2a000
10076,Benign,0x27900100000  , 0x2565305  , 0xc0000
10076,Benign,0x279001c0000  , 0x2625305  , 0x12000
10076,Benign,0x27900200000  , 0x2637305  , 0x80000
10076,Benign,0x27900280000  , 0x26b7305  , 0x14000
10076,Benign,0x279002c0000  , 0x26cb305  , 0x163000
10076,Benign,0x27900440000  , 0x282e305  , 0xc0000
10076,Benign,0x27900580000  , 0x28ee305  , 0x1c0000
10076,Benign,0x27900900000  , 0x2aae305  , 0x340000
10076,Benign,0x27901040000  , 0x2dee305  , 0x281000
10076,Benign,0x27901300000  , 0x306f305  , 0x82000
10076,Benign,0x279013c0000  , 0x30f1305  , 0x18b000
10076,Benign,0x27901580000  , 0x327c305  , 0x23000
10076,Benign,0x279015c0000  , 0x329f305  , 0x63000
10076,Benign,0x27901640000  , 0x3302305  , 0x23000
10076,Benign,0x27901680000  , 0x3325305  , 0x23000
10076,Benign,0x279016c0000  , 0x3348305  , 0x23000
10076,Benign,0x27901700000  , 0x336b305  , 0x23000
10076,Benign,0x27901740000  , 0x338e305  , 0xa6000
10076,Benign,0x27901800000  , 0x3434305  , 0x340000
10076,Benign,0x27902340000  , 0x3774305  , 0xbc2000
10076,Benign,0x27902f40000  , 0x4336305  , 0x100000
10076,Benign,0x27903180000  , 0x4436305  , 0x40000
10076,Benign,0x27903200000  , 0x4476305  , 0x1c0000
10076,Benign,0x27c00001000  , 0x4636305  , 0x1000
10076,Benign,0x27c0000c000  , 0x4637305  , 0x1000
10076,Benign,0x27c00010000  , 0x4638305  , 0x1000
10076,Benign,0x27c0001c000  , 0x4639305  , 0x1000
10076,Benign,0x27c00020000  , 0x463a305  , 0x2000
10076,Benign,0x27c00024000  , 0x463c305  , 0x1000
10076,Benign,0x27c00034000  , 0x463d305  , 0x2000
10076,Benign,0x27c00038000  , 0x463f305  , 0x1000
10076,Benign,0x27c0003c000  , 0x4640305  , 0x1000
10076,Benign,0x27c0004c000  , 0x4641305  , 0x1000
10076,Benign,0x27c00050000  , 0x4642305  , 0x1000
10076,Benign,0x27c00060000  , 0x4643305  , 0x2000
10076,Benign,0x27c0007c000  , 0x4645305  , 0x7000
